지역ID,맵,상위지역,지역명,기준,기준지역ID,몬스터1,원본좌표1,Y+10 좌표1,Y-10 좌표1,몬스터2,원본좌표2,Y+10 좌표2,Y-10 좌표2,몬스터3,원본좌표3,Y+10 좌표3,Y-10 좌표3
543,칼림도어,운고로 분화구,골락카 간헐천,상위지역 경계 대체,490,칼날가시 붉은꽃잎덩굴손 (6510),"-7450.560, -1367.240, -267.996","-7450.560, -1357.240, -267.996","-7450.560, -1377.240, -267.996",광포한 테러닥스 (9167),"-7248.710, -988.150, -271.454","-7248.710, -978.150, -271.454","-7248.710, -998.150, -271.454",덩치 큰 디메트로돈 (9164),"-7119.090, -1050.620, -272.131","-7119.090, -1040.620, -272.131","-7119.090, -1060.620, -272.131"
556,동부 왕국,모단 호수,대호수,상위지역 경계 대체,38,가루바위일족 점쟁이 (1166),"-5038.670, -3361.670, 298.385","-5038.670, -3351.670, 298.385","-5038.670, -3371.670, 298.385",동굴쥐일족 졸개 (1172),"-5030.430, -3014.490, 330.606","-5030.430, -3004.490, 330.606","-5030.430, -3024.490, 330.606",가루바위 트로그 (1161),"-5810.560, -2965.800, 365.715","-5810.560, -2955.800, 365.715","-5810.560, -2975.800, 365.715"
576,동부 왕국,그늘숲,부랑자 소굴,상위지역 경계 대체,10,돌가죽멧돼지 (524),"-9926.910, -371.035, 27.431","-9926.910, -361.035, 27.431","-9926.910, -381.035, 27.431",파멸의어둠일족 암흑길잡이 (205),"-10530.900, -786.683, 57.438","-10530.900, -776.683, 57.438","-10530.900, -796.683, 57.438",새끼 검은과부거미 (930),"-10751.200, -172.226, 40.478","-10751.200, -162.226, 40.478","-10751.200, -182.226, 40.478"
596,칼림도어,잊혀진 땅,코도 무덤,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
597,칼림도어,잊혀진 땅,침묵의 초소,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
598,칼림도어,잊혀진 땅,살데리스 해안,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
599,칼림도어,잊혀진 땅,천둥도끼 요새,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
600,칼림도어,잊혀진 땅,볼간의 구덩이,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
602,칼림도어,잊혀진 땅,만노로크 소굴,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
603,칼림도어,잊혀진 땅,살게론,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
604,칼림도어,잊혀진 땅,마그람 마을,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
606,칼림도어,잊혀진 땅,겔키스 마을,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
607,칼림도어,잊혀진 땅,뾰족바위 골짜기,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
608,칼림도어,잊혀진 땅,나이젤의 야영지,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
609,칼림도어,잊혀진 땅,콜카르 마을,상위지역 경계 대체,405,공포의 독수리 (4692),"-778.516, 2084.120, 96.564","-778.516, 2094.120, 96.564","-778.516, 2074.120, 96.564",흉포한 번개도마뱀 (4726),"-792.666, 2019.200, 82.617","-792.666, 2029.200, 82.617","-792.666, 2009.200, 82.617",모래턱 바실리스크 (4728),"-767.390, 1946.490, 90.206","-767.390, 1956.490, 90.206","-767.390, 1936.490, 90.206"
616,칼림도어,,하이잘 산,없음,,없음,,,,없음,,,,없음,,,
618,칼림도어,,여명의 설원,지역 경계 직접,618,갈퀴발톱 천둥뿔 히포그리프 (6378),"4800.580, -5733.070, 105.259","4800.580, -5723.070, 105.259","4800.580, -5743.070, 105.259",덩치 큰 이끼발굽순록 (8761),"4713.220, -5618.980, 114.516","4713.220, -5608.980, 114.516","4713.220, -5628.980, 114.516",긴발톱 톱니이빨곰 (7443),"6213.320, -4171.970, 725.299","6213.320, -4161.970, 725.299","6213.320, -4181.970, 725.299"
636,칼림도어,돌발톱 산맥,검은늑대 강,상위지역 경계 대체,406,투자개발회사 나무꾼 (3989),"1215.000, 343.344, 32.464","1215.000, 353.344, 32.464","1215.000, 333.344, 32.464",검은뿔순록 (3817),"2009.650, -368.157, 99.981","2009.650, -358.157, 99.981","2009.650, -378.157, 99.981",잿빛골짜기곰 (3809),"1981.450, -404.674, 97.399","1981.450, -394.674, 97.399","1981.450, -414.674, 97.399"
637,칼림도어,멀고어,코도 바위,상위지역 경계 대체,215,긴발톱 초원늑대 (2959),"-1950.900, -482.575, -7.776","-1950.900, -472.575, -7.776","-1950.900, -492.575, -7.776",투자개발회사 노역꾼 (2978),"-1914.360, -1012.180, 45.407","-1914.360, -1002.180, 45.407","-1914.360, -1022.180, 45.407",초원늑대 (2958),"-2249.060, -719.273, -4.384","-2249.060, -709.273, -4.384","-2249.060, -729.273, -4.384"
638,칼림도어,듀로타,비밀의 길,상위지역 경계 대체,14,긴송곳니 열대초원랩터 (3255),"-138.366, -3690.130, 27.531","-138.366, -3680.130, 27.531","-138.366, -3700.130, 27.531",덩치 큰 점박이멧돼지 (3100),"63.938, -4054.780, 53.847","63.938, -4044.780, 53.847","63.938, -4064.780, 53.847",검은부리초원타조 (3246),"-318.000, -3817.240, 29.120","-318.000, -3807.240, 29.120","-318.000, -3827.240, 29.120"
639,칼림도어,듀로타,정기 바위,상위지역 경계 대체,14,긴송곳니 열대초원랩터 (3255),"-138.366, -3690.130, 27.531","-138.366, -3680.130, 27.531","-138.366, -3700.130, 27.531",덩치 큰 점박이멧돼지 (3100),"63.938, -4054.780, 53.847","63.938, -4044.780, 53.847","63.938, -4064.780, 53.847",검은부리초원타조 (3246),"-318.000, -3817.240, 29.120","-318.000, -3807.240, 29.120","-318.000, -3827.240, 29.120"
640,칼림도어,듀로타,희미한 불꽃의 제단,상위지역 경계 대체,14,긴송곳니 열대초원랩터 (3255),"-138.366, -3690.130, 27.531","-138.366, -3680.130, 27.531","-138.366, -3700.130, 27.531",덩치 큰 점박이멧돼지 (3100),"63.938, -4054.780, 53.847","63.938, -4044.780, 53.847","63.938, -4064.780, 53.847",검은부리초원타조 (3246),"-318.000, -3817.240, 29.120","-318.000, -3807.240, 29.120","-318.000, -3827.240, 29.120"
656,칼림도어,달의 숲,엘룬아라 호수,상위지역 경계 대체,493,뾰족창부족 트롤 (10919),"7401.470, -1658.750, 195.958","7401.470, -1648.750, 195.958","7401.470, -1668.750, 195.958",달의숲 집행자 (11822),"7810.990, -2567.440, 488.578","7810.990, -2557.440, 488.578","7810.990, -2577.440, 488.578",상상의 악몽 (30627),"7810.730, -2233.280, 462.651","7810.730, -2223.280, 462.651","7810.730, -2243.280, 462.651"
657,동부 왕국,슬픔의 늪,피난처,상위지역 경계 대체,8,네더가드 광부 (5996),"-10499.000, -3328.550, -4.555","-10499.000, -3318.550, -4.555","-10499.000, -3338.550, -4.555",네더가드 병사 (5999),"-10874.300, -3284.880, 88.425","-10874.300, -3274.880, 88.425","-10874.300, -3294.880, 88.425",늪지멀록 먹물쟁이 (750),"-10865.800, -3642.490, 13.737","-10865.800, -3632.490, 13.737","-10865.800, -3652.490, 13.737"
696,칼림도어,텔드랏실,장인의 정원 미사용,상위지역 경계 대체,141,나무옹이일족 파수꾼 (2010),"9928.130, 1534.450, 1317.680","9928.130, 1544.450, 1317.680","9928.130, 1524.450, 1317.680",나무옹이일족 주술사 (2009),"9869.990, 1511.570, 1272.790","9869.990, 1521.570, 1272.790","9869.990, 1501.570, 1272.790",나무그물거미 (1986),"10666.500, 933.339, 1322.000","10666.500, 943.339, 1322.000","10666.500, 923.339, 1322.000"
697,칼림도어,텔드랏실,상인의 정원 미사용,상위지역 경계 대체,141,나무옹이일족 파수꾼 (2010),"9928.130, 1534.450, 1317.680","9928.130, 1544.450, 1317.680","9928.130, 1524.450, 1317.680",나무옹이일족 주술사 (2009),"9869.990, 1511.570, 1272.790","9869.990, 1521.570, 1272.790","9869.990, 1501.570, 1272.790",나무그물거미 (1986),"10666.500, 933.339, 1322.000","10666.500, 943.339, 1322.000","10666.500, 923.339, 1322.000"
698,칼림도어,텔드랏실,신전 정원 미사용,상위지역 경계 대체,141,나무옹이일족 파수꾼 (2010),"9928.130, 1534.450, 1317.680","9928.130, 1544.450, 1317.680","9928.130, 1524.450, 1317.680",나무옹이일족 주술사 (2009),"9869.990, 1511.570, 1272.790","9869.990, 1521.570, 1272.790","9869.990, 1501.570, 1272.790",나무그물거미 (1986),"10666.500, 933.339, 1322.000","10666.500, 943.339, 1322.000","10666.500, 923.339, 1322.000"
699,칼림도어,텔드랏실,엘룬의 신전 미사용,상위지역 경계 대체,141,나무옹이일족 파수꾼 (2010),"9928.130, 1534.450, 1317.680","9928.130, 1544.450, 1317.680","9928.130, 1524.450, 1317.680",나무옹이일족 주술사 (2009),"9869.990, 1511.570, 1272.790","9869.990, 1521.570, 1272.790","9869.990, 1501.570, 1272.790",나무그물거미 (1986),"10666.500, 933.339, 1322.000","10666.500, 943.339, 1322.000","10666.500, 923.339, 1322.000"
700,칼림도어,텔드랏실,세나리온 자치령 미사용,상위지역 경계 대체,141,나무옹이일족 파수꾼 (2010),"9928.130, 1534.450, 1317.680","9928.130, 1544.450, 1317.680","9928.130, 1524.450, 1317.680",나무옹이일족 주술사 (2009),"9869.990, 1511.570, 1272.790","9869.990, 1521.570, 1272.790","9869.990, 1501.570, 1272.790",나무그물거미 (1986),"10666.500, 933.339, 1322.000","10666.500, 943.339, 1322.000","10666.500, 923.339, 1322.000"
701,칼림도어,텔드랏실,전사의 정원 미사용,상위지역 경계 대체,141,나무옹이일족 파수꾼 (2010),"9928.130, 1534.450, 1317.680","9928.130, 1544.450, 1317.680","9928.130, 1524.450, 1317.680",나무옹이일족 주술사 (2009),"9869.990, 1511.570, 1272.790","9869.990, 1521.570, 1272.790","9869.990, 1501.570, 1272.790",나무그물거미 (1986),"10666.500, 933.339, 1322.000","10666.500, 943.339, 1322.000","10666.500, 923.339, 1322.000"
702,칼림도어,텔드랏실,루테란 마을,상위지역 경계 대체,141,나무옹이일족 파수꾼 (2010),"9928.130, 1534.450, 1317.680","9928.130, 1544.450, 1317.680","9928.130, 1524.450, 1317.680",나무옹이일족 주술사 (2009),"9869.990, 1511.570, 1272.790","9869.990, 1521.570, 1272.790","9869.990, 1501.570, 1272.790",나무그물거미 (1986),"10666.500, 933.339, 1322.000","10666.500, 943.339, 1322.000","10666.500, 923.339, 1322.000"
716,동부 왕국,던 모로,아이언밴드 야영지,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
720,칼림도어,불모의 땅,격투의 섬,상위지역 경계 대체,17,긴송곳니 열대초원랩터 (3255),"-1525.840, -2634.480, 93.120","-1525.840, -2624.480, 93.120","-1525.840, -2644.480, 93.120",굶주린 얼룩말 (3242),"-1047.420, -2714.390, 92.212","-1047.420, -2704.390, 92.212","-1047.420, -2724.390, 92.212",검은부리초원타조 (3246),"-1014.420, -2361.710, 94.964","-1014.420, -2351.710, 94.964","-1014.420, -2371.710, 94.964"
736,칼림도어,텔드랏실,바네실 동굴,상위지역 경계 대체,141,나무옹이일족 파수꾼 (2010),"9928.130, 1534.450, 1317.680","9928.130, 1544.450, 1317.680","9928.130, 1524.450, 1317.680",나무옹이일족 주술사 (2009),"9869.990, 1511.570, 1272.790","9869.990, 1521.570, 1272.790","9869.990, 1501.570, 1272.790",나무그물거미 (1986),"10666.500, 933.339, 1322.000","10666.500, 943.339, 1322.000","10666.500, 923.339, 1322.000"
797,동부 왕국,엘윈 숲,제로드 선착장,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
798,동부 왕국,엘윈 숲,마루목 감시탑,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
799,동부 왕국,그늘숲,어스름 강둑,상위지역 경계 대체,10,돌가죽멧돼지 (524),"-9926.910, -371.035, 27.431","-9926.910, -361.035, 27.431","-9926.910, -381.035, 27.431",파멸의어둠일족 암흑길잡이 (205),"-10530.900, -786.683, 57.438","-10530.900, -776.683, 57.438","-10530.900, -796.683, 57.438",새끼 검은과부거미 (930),"-10751.200, -172.226, 40.478","-10751.200, -162.226, 40.478","-10751.200, -182.226, 40.478"
800,동부 왕국,던 모로,눈마루 고개,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
801,동부 왕국,던 모로,찬바람 골짜기,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
802,동부 왕국,던 모로,쉼머 마루,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
803,동부 왕국,던 모로,앰버스틸 목장,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
804,동부 왕국,던 모로,툰드리드 언덕,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
805,동부 왕국,던 모로,남부 관문 통행로,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
806,동부 왕국,던 모로,남부 관문 전초기지,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
807,동부 왕국,던 모로,북부 관문 통행로,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
808,동부 왕국,던 모로,북부 관문 전초기지,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
809,동부 왕국,던 모로,아이언포지 성문,상위지역 경계 대체,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
810,동부 왕국,티리스팔 숲,고요의 연못,상위지역 경계 대체,85,저주받은 암흑사냥개 (1548),"2334.720, 776.210, 33.650","2334.720, 786.210, 33.650","2334.720, 766.210, 33.650",그늘흡혈박쥐 (1554),"2035.300, 813.816, 34.843","2035.300, 823.816, 34.843","2035.300, 803.816, 34.843",거대한 그늘박쥐 (1553),"2340.460, 796.870, 35.299","2340.460, 806.870, 35.299","2340.460, 786.870, 35.299"
811,동부 왕국,티리스팔 숲,악몽의 골짜기,상위지역 경계 대체,85,저주받은 암흑사냥개 (1548),"2334.720, 776.210, 33.650","2334.720, 786.210, 33.650","2334.720, 766.210, 33.650",그늘흡혈박쥐 (1554),"2035.300, 813.816, 34.843","2035.300, 823.816, 34.843","2035.300, 803.816, 34.843",거대한 그늘박쥐 (1553),"2340.460, 796.870, 35.299","2340.460, 806.870, 35.299","2340.460, 786.870, 35.299"
812,동부 왕국,티리스팔 숲,독그물 골짜기,상위지역 경계 대체,85,저주받은 암흑사냥개 (1548),"2334.720, 776.210, 33.650","2334.720, 786.210, 33.650","2334.720, 766.210, 33.650",그늘흡혈박쥐 (1554),"2035.300, 813.816, 34.843","2035.300, 823.816, 34.843","2035.300, 803.816, 34.843",거대한 그늘박쥐 (1553),"2340.460, 796.870, 35.299","2340.460, 806.870, 35.299","2340.460, 786.870, 35.299"
813,동부 왕국,서부 역병지대,보루,상위지역 경계 대체,28,그늘흡혈박쥐 (1554),"2487.740, -1050.970, 93.581","2487.740, -1040.970, 93.581","2487.740, -1060.970, 93.581",저주받은 암흑사냥개 (1548),"1888.410, -643.062, 48.334","1888.410, -633.062, 48.334","1888.410, -653.062, 48.334",투명 추적자 (31576),"1808.840, 204.643, 60.500","1808.840, 214.643, 60.500","1808.840, 194.643, 60.500"
814,칼림도어,듀로타,분노의 강,상위지역 경계 대체,14,긴송곳니 열대초원랩터 (3255),"-138.366, -3690.130, 27.531","-138.366, -3680.130, 27.531","-138.366, -3700.130, 27.531",덩치 큰 점박이멧돼지 (3100),"63.938, -4054.780, 53.847","63.938, -4044.780, 53.847","63.938, -4064.780, 53.847",검은부리초원타조 (3246),"-318.000, -3817.240, 29.120","-318.000, -3807.240, 29.120","-318.000, -3827.240, 29.120"
815,칼림도어,불모의 땅,분노의 강,상위지역 경계 대체,17,긴송곳니 열대초원랩터 (3255),"-1525.840, -2634.480, 93.120","-1525.840, -2624.480, 93.120","-1525.840, -2644.480, 93.120",굶주린 얼룩말 (3242),"-1047.420, -2714.390, 92.212","-1047.420, -2704.390, 92.212","-1047.420, -2724.390, 92.212",검은부리초원타조 (3246),"-1014.420, -2361.710, 94.964","-1014.420, -2351.710, 94.964","-1014.420, -2371.710, 94.964"
816,칼림도어,듀로타,서슬갈기일족 영토,상위지역 경계 대체,14,긴송곳니 열대초원랩터 (3255),"-138.366, -3690.130, 27.531","-138.366, -3680.130, 27.531","-138.366, -3700.130, 27.531",덩치 큰 점박이멧돼지 (3100),"63.938, -4054.780, 53.847","63.938, -4044.780, 53.847","63.938, -4064.780, 53.847",검은부리초원타조 (3246),"-318.000, -3817.240, 29.120","-318.000, -3807.240, 29.120","-318.000, -3827.240, 29.120"
817,칼림도어,듀로타,해골 바위굴,상위지역 경계 대체,14,긴송곳니 열대초원랩터 (3255),"-138.366, -3690.130, 27.531","-138.366, -3680.130, 27.531","-138.366, -3700.130, 27.531",덩치 큰 점박이멧돼지 (3100),"63.938, -4054.780, 53.847","63.938, -4044.780, 53.847","63.938, -4064.780, 53.847",검은부리초원타조 (3246),"-318.000, -3817.240, 29.120","-318.000, -3807.240, 29.120","-318.000, -3827.240, 29.120"
818,칼림도어,멀고어,회색갈기일족 바위굴,상위지역 경계 대체,215,긴발톱 초원늑대 (2959),"-1950.900, -482.575, -7.776","-1950.900, -472.575, -7.776","-1950.900, -492.575, -7.776",투자개발회사 노역꾼 (2978),"-1914.360, -1012.180, 45.407","-1914.360, -1002.180, 45.407","-1914.360, -1022.180, 45.407",초원늑대 (2958),"-2249.060, -719.273, -4.384","-2249.060, -709.273, -4.384","-2249.060, -729.273, -4.384"
819,칼림도어,멀고어,성난바람 마루,상위지역 경계 대체,215,긴발톱 초원늑대 (2959),"-1950.900, -482.575, -7.776","-1950.900, -472.575, -7.776","-1950.900, -492.575, -7.776",투자개발회사 노역꾼 (2978),"-1914.360, -1012.180, 45.407","-1914.360, -1002.180, 45.407","-1914.360, -1022.180, 45.407",초원늑대 (2958),"-2249.060, -719.273, -4.384","-2249.060, -709.273, -4.384","-2249.060, -729.273, -4.384"
820,칼림도어,멀고어,황금 초원,상위지역 경계 대체,215,긴발톱 초원늑대 (2959),"-1950.900, -482.575, -7.776","-1950.900, -472.575, -7.776","-1950.900, -492.575, -7.776",투자개발회사 노역꾼 (2978),"-1914.360, -1012.180, 45.407","-1914.360, -1002.180, 45.407","-1914.360, -1022.180, 45.407",초원늑대 (2958),"-2249.060, -719.273, -4.384","-2249.060, -709.273, -4.384","-2249.060, -729.273, -4.384"
821,칼림도어,멀고어,구릉 초원,상위지역 경계 대체,215,긴발톱 초원늑대 (2959),"-1950.900, -482.575, -7.776","-1950.900, -472.575, -7.776","-1950.900, -492.575, -7.776",투자개발회사 노역꾼 (2978),"-1914.360, -1012.180, 45.407","-1914.360, -1002.180, 45.407","-1914.360, -1022.180, 45.407",초원늑대 (2958),"-2249.060, -719.273, -4.384","-2249.060, -709.273, -4.384","-2249.060, -729.273, -4.384"
836,동부 왕국,저습지,던 알가즈,상위지역 경계 대체,11,새끼 습지악어 (1417),"-3406.250, -2668.750, 6.533","-3406.250, -2658.750, 6.533","-3406.250, -2678.750, 6.533",용아귀부족 약탈자 (1034),"-3482.190, -2451.440, 46.543","-3482.190, -2441.440, 46.543","-3482.190, -2461.440, 46.543",습지악어 (1400),"-3162.970, -2301.090, 7.082","-3162.970, -2291.090, 7.082","-3162.970, -2311.090, 7.082"
837,동부 왕국,모단 호수,던 알가즈,상위지역 경계 대체,38,가루바위일족 점쟁이 (1166),"-5038.670, -3361.670, 298.385","-5038.670, -3351.670, 298.385","-5038.670, -3371.670, 298.385",동굴쥐일족 졸개 (1172),"-5030.430, -3014.490, 330.606","-5030.430, -3004.490, 330.606","-5030.430, -3024.490, 330.606",가루바위 트로그 (1161),"-5810.560, -2965.800, 365.715","-5810.560, -2955.800, 365.715","-5810.560, -2975.800, 365.715"
